Indicator,Country,Time,Value
"Adult literacy rate, population 15+ years, male (%)",Western Asia,1999,89.51
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2000,89.51
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2001,89.51
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2002,89.51
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2003,89.51
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2004,89.51
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2005,93.57
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2006,93.57
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2007,93.57
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2008,93.57
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2009,93.57
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2010,93.57
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2011,93.57
"Adult literacy rate, population 15+ years, male (%)",Western Asia,2012,93.57
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,1999,86.33
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2000,86.33
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2001,86.33
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2002,86.33
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2003,86.33
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2004,86.33
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2005,91.76
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2006,91.76
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2007,91.76
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2008,91.76
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2009,91.76
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2010,91.76
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2011,91.76
"Adult literacy rate, population 15+ years, female (%)",Upper middle income countries,2012,91.76
"Youth literacy rate, population 15-24 years, both sexes (%)",Mali,2003,30.55
"Youth literacy rate, population 15-24 years, both sexes (%)",Mali,2006,38.82
"Youth literacy rate, population 15-24 years, both sexes (%)",Mali,2010,44.30
"Youth literacy rate, population 15-24 years, both sexes (%)",Mali,2011,47.14
"Youth literacy rate, population 15-24 years, both sexes (%)",Mali,2015,54.08
"Adult literacy rate, population 15+ years, both sexes (%)",Armenia,2001,99.40
"Adult literacy rate, population 15+ years, both sexes (%)",Armenia,2012,99.61
"Adult literacy rate, population 15+ years, both sexes (%)",Armenia,2015,99.65
"Adult literacy rate, population 15+ years, gender parity index (GPI)",India,2001,0.65
"Adult literacy rate, population 15+ years, gender parity index (GPI)",India,2006,0.68
"Adult literacy rate, population 15+ years, gender parity index (GPI)",India,2015,0.75
