"","country","year","population","gdp","num_tb_cases","ir_tb"
"11","Argentina",2005,39000000,10800,13000,33
"28","Bolivia",2005,9000000,3770,14000,158
"45","Brazil",2005,186000000,8510,95000,51
"62","Chile",2005,16000000,12800,3300,20
"79","Colombia",2005,43000000,7300,17000,38
"96","Costa Rica",2005,4000000,9040,1000,23
"113","Dominican Republic",2005,9000000,6380,7600,82
"130","Ecuador",2005,13000000,6510,11000,83
"147","El Salvador",2005,6227491,5700,2400,39
"164","Guatemala ",2005,13000000,4060,8200,65
"181","Haiti",2005,9000000,1020,25000,272
"198","Honduras",2005,7000000,3280,6100,89
"215","Mexico",2005,106000000,12200,24000,22
"232","Nicaragua",2005,5000000,3030,2900,53
"249","Panama",2005,3000000,9170,1500,47
"266","Paraguay",2005,6000000,3900,2900,49
"283","Peru",2005,28000000,6390,39000,140
"300","Trinidad and Tobago",2005,1000000,20100,220,17
"317","Uruguay",2005,3000000,9680,760,23
"334","Venezuela",2005,27000000,9920,9000,34
