"","country","year","population","hexp","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2005","qhexp","wpop2005","wrate"
"181","Haiti",2005,9000000,45.1,25000,272,0.0168783495823174,0.0168783495823174,0.00843917479115869,0.0880653797379174,0.0880653797379174,-2.07370001796766,3000,-6221.10005390297,816000,183.483808104265,"Q1",0.25,68
"232","Nicaragua",2005,5000000,185,2900,53,0.00937686087906522,0.0262552104613826,0.02156678002185,0.0102155840495984,0.0982809637875159,-1.66621469138939,2236.06797749979,-3725.76931505551,118511.602807489,151.131878344988,"Q1",0.138888888888889,7.36111111111111
"28","Bolivia",2005,9000000,210,14000,158,0.0168783495823174,0.0431335600437,0.0346943852525413,0.0493166126532338,0.14759757644075,-1.45974080333999,3000,-4379.22241001996,474000,134.739070340364,"Q1",0.25,39.5
"198","Honduras",2005,7000000,252,6100,89,0.0131276052306913,0.0562611652743913,0.0496973626590456,0.0214879526560519,0.169085529096801,-1.30366665780619,2645.75131106459,-3449.17776908193,235471.866684749,122.347704408373,"Q1",0.194444444444444,17.3055555555556
"266","Paraguay",2005,6000000,253,2900,49,0.0112522330548783,0.0675133983292696,0.0618872818018304,0.0102155840495984,0.1793011131464,-1.20839859186511,2449.48974278318,-2959.95995596723,120024.997396376,114.783982289814,"Q1",0.166666666666667,8.16666666666667
"164","Guatemala ",2005,13000000,262,8200,65,0.0243798382855696,0.0918932366148391,0.0797033174720543,0.0288854445540369,0.208186557700437,-1.09852360169269,3605.55127546399,-3960.78317321037,234360.832905159,106.06055660426,"Q2",0.131012080109936,8.51578520714587
"283","Peru",2005,28000000,285,39000,140,0.0525104209227652,0.144403657537604,0.118148447076222,0.137381992391151,0.345568550091588,-0.92757198228942,5291.50262212918,-4908.24957649803,740810.367098085,92.4880070609159,"Q2",0.282179864852171,39.5051810793039
"113","Dominican Republic",2005,9000000,336,7600,82,0.0168783495823174,0.161282007119922,0.152842832328763,0.0267718754403269,0.372340425531915,-0.815754923003025,3000,-2447.26476900907,246000,83.6103925507219,"Q2",0.0907006708453406,7.43745500931793
"147","El Salvador",2005,6227491,407,2400,39,0.0116788633465261,0.172960870466448,0.167121438793185,0.00845427645484007,0.380794701986755,-0.77696783405425,2495.49413944413,-1938.91867641898,97324.2714383211,80.5309266279249,"Q2",0.0627597345981468,2.44762964932772
"79","Colombia",2005,43000000,440,17000,38,0.0806410035599609,0.253601874026409,0.213281372246428,0.0598844582217838,0.440679160208539,-0.671047073682587,6557.438524302,-4400.34993258632,249182.663923476,72.121443448817,"Q2",0.433347649594405,16.4672106845874
"130","Ecuador",2005,13000000,462,11000,83,0.0243798382855696,0.277981712311978,0.265791793169194,0.0387487670846837,0.479427927293222,-0.575458432860398,3605.55127546399,-2074.84488657632,299260.755863511,64.5322695768832,"Q3",0.055793991416309,4.63090128755365
"334","Venezuela",2005,27000000,537,9000,34,0.0506350487469522,0.32861676105893,0.303299236685454,0.0317035367056503,0.511131463998873,-0.518128682678826,5196.15242270663,-2692.27560977538,176669.182372025,59.9806257997549,"Q3",0.11587982832618,3.93991416309013
"249","Panama",2005,3000000,686,1500,47,0.00562611652743913,0.33424287758637,0.33142981932265,0.00528392278427505,0.516415386783148,-0.479608419921872,1732.05080756888,-830.706151042512,81406.3879557372,56.9223443016541,"Q3",0.0128755364806867,0.605150214592275
"45","Brazil",2005,186000000,695,95000,51,0.348819224701226,0.683062102287596,0.508652489936983,0.334648443004086,0.851063829787234,-0.293578825218636,13638.1816969859,-4003.88136071941,695547.266546279,42.1526925168312,"Q3",0.798283261802575,40.7124463519313
"96","Costa Rica",2005,4000000,710,1000,23,0.00750148870325217,0.690563590990848,0.686812846639222,0.0035226151895167,0.854586444976751,-0.163161590080216,2000,-326.323180160431,46000,31.7983338310177,"Q3",0.0171673819742489,0.394849785407725
"215","Mexico",2005,106000000,732,24000,22,0.198789450636183,0.88935304162703,0.789958316308939,0.0845427645484007,0.939129209525152,-0.102395824500223,10295.630140987,-1054.22953703571,226503.863101714,26.9738907122419,"Q4",0.642424242424242,14.1333333333333
"317","Uruguay",2005,3000000,794,760,23,0.00562611652743913,0.89497915815447,0.89216609989075,0.00267718754403269,0.941806397069184,-0.0495542828990328,1732.05080756888,-85.8305357137663,39837.1685740842,22.778584204867,"Q4",0.0181818181818182,0.418181818181818
"62","Chile",2005,16000000,827,3300,20,0.0300059548130087,0.924985112967478,0.909982135560974,0.0116246301254051,0.953431027194589,-0.0409671335068692,4000,-163.868534027477,80000,22.0968152285446,"Q4",0.096969696969697,1.93939393939394
"11","Argentina",2005,39000000,902,13000,33,0.0731395148567087,0.998124627824187,0.961554870395833,0.0457939974637171,0.999225024658306,-0.0170259280347586,6244.9979983984,-106.326886497943,206084.933947147,20.196024826372,"Q4",0.236363636363636,7.8
"300","Trinidad and Tobago",2005,1000000,1140,220,17,0.00187537217581304,1,0.999062313912094,0.000774975341693673,1,-0.000407422941013461,1000,-0.40742294101346,17000,18.8766136122021,"Q4",0.00606060606060606,0.103030303030303
