"","country","year","population","p.hex.gdp","num_tb_cases","ir_tb"
"16","Argentina",2010,40000000,0.125894134477825,11000,27
"33","Bolivia",2010,10088108,0.0606896551724138,13000,135
"50","Brazil",2010,195000000,0.1,85000,46
"67","Chile",2010,17269525,0.0820689655172414,3200,19
"84","Colombia",2010,46000000,0.0724056603773585,16000,34
"101","Costa Rica",2010,4726575,0.114285714285714,650,14
"118","Dominican Republic",2010,10056181,0.0606674612634088,6700,67
"135","Ecuador",2010,14000000,0.0881944444444445,9400,65
"152","El Salvador",2010,6227491,0.0762541806020067,1800,28
"169","Guatemala ",2010,14000000,0.076046511627907,8900,62
"186","Haiti",2010,10123787,0.0762096774193548,23000,230
"203","Honduras",2010,7754687,0.0965909090909091,3900,54
"220","Mexico",2010,113000000,0.07696,25000,22
"237","Nicaragua",2010,5869859,0.0849230769230769,2400,42
"254","Panama",2010,3571185,0.0968253968253968,1700,48
"271","Paraguay",2010,6000000,0.106479481641469,3000,46
"288","Peru",2010,29399817,0.054088785046729,31000,106
"305","Trinidad and Tobago",2010,1346350,0.0698275862068966,280,19
"322","Uruguay",2010,3380008,0.0896825396825397,720,24
"339","Venezuela",2010,29436891,0.0583636363636364,9700,33
