"","country","year","population","impsfac","num_tb_cases","ir_tb"
"11","Argentina",2005,39000000,75,13000,33
"28","Bolivia",2005,9000000,65,14000,158
"45","Brazil",2005,186000000,72,95000,51
"62","Chile",2005,16000000,78,3300,20
"79","Colombia",2005,43000000,72,17000,38
"96","Costa Rica",2005,4000000,79,1000,23
"113","Dominican Republic",2005,9000000,72.1,7600,82
"130","Ecuador",2005,13000000,75,11000,83
"147","El Salvador",2005,6227491,71,2400,39
"164","Guatemala ",2005,13000000,70,8200,65
"181","Haiti",2005,9000000,60,25000,272
"198","Honduras",2005,7000000,72,6100,89
"215","Mexico",2005,106000000,75.7,24000,22
"232","Nicaragua",2005,5000000,72.1,2900,53
"249","Panama",2005,3000000,75.2,1500,47
"266","Paraguay",2005,6000000,71.3,2900,49
"283","Peru",2005,28000000,72.5,39000,140
"300","Trinidad and Tobago",2005,1000000,69,220,17
"317","Uruguay",2005,3000000,75.9,760,23
"334","Venezuela",2005,27000000,73.3,9000,34
