"","country","year","population","impsfac","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2005","qimpsfac","wpop2005","wrate"
"181","Haiti",2005,9000000,60,25000,272,0.0168783495823174,0.0168783495823174,0.00843917479115869,0.0880653797379174,0.0880653797379174,-2.07370001796766,3000,-6221.10005390297,816000,161.281141692276,"Q1",0.235432662844653,64.0376842937456
"28","Bolivia",2005,9000000,65,14000,158,0.0168783495823174,0.0337566991646348,0.0253175243734761,0.0493166126532338,0.137381992391151,-1.596578763248,3000,-4789.73628974399,474000,130.033426008057,"Q1",0.235432662844653,37.1983607294551
"300","Trinidad and Tobago",2005,1000000,69,220,17,0.00187537217581304,0.0356320713404478,0.0346943852525413,0.000774975341693673,0.138156967732845,-1.45974080333999,1000,-1459.74080333999,17000,121.07160839101,"Q1",0.026159184760517,0.444706140928789
"164","Guatemala ",2005,13000000,70,8200,65,0.0243798382855696,0.0600119096260174,0.0478219904832326,0.0288854445540369,0.167042412286882,-1.32037235130905,3605.55127546399,-4760.67021534972,234360.832905159,111.944063304025,"Q1",0.340069401886721,22.1045111226368
"147","El Salvador",2005,6227491,71,2400,39,0.0116788633465261,0.0716907729725435,0.0658513412992805,0.00845427645484007,0.175496688741722,-1.18143537464383,2495.49413944413,-2948.26505355566,97324.2714383211,102.844776483508,"Q1",0.162906087663457,6.35333741887481
"266","Paraguay",2005,6000000,71.3,2900,49,0.0112522330548783,0.0829430060274218,0.0773168894999827,0.0102155840495984,0.18571227279132,-1.11172562619245,2449.48974278318,-2723.16051814762,120024.997396376,98.2793324198032,"Q2",0.0234375,1.1484375
"45","Brazil",2005,186000000,72,95000,51,0.348819224701226,0.431762230728648,0.257352618378035,0.334648443004086,0.520360715795407,-0.589471408756935,13638.1816969859,-8039.3181778053,695547.266546279,64.0757601834378,"Q2",0.7265625,37.0546875
"79","Colombia",2005,43000000,72,17000,38,0.0806410035599609,0.512403234288609,0.472082732508628,0.0598844582217838,0.58024517401719,-0.325981884579054,6557.438524302,-2137.60616816326,249182.663923476,46.8192543039875,"Q2",0.16796875,6.3828125
"198","Honduras",2005,7000000,72,6100,89,0.0131276052306913,0.5255308395193,0.518967036903954,0.0214879526560519,0.601733126673242,-0.284860226246634,2645.75131106459,-753.669317062187,235471.866684749,44.1261068591309,"Q2",0.02734375,2.43359375
"113","Dominican Republic",2005,9000000,72.1,7600,82,0.0168783495823174,0.542409189101617,0.533970014310459,0.0267718754403269,0.628505002113569,-0.272483130584078,3000,-817.449391752235,246000,43.3155037630958,"Q2",0.03515625,2.8828125
"232","Nicaragua",2005,5000000,72.1,2900,53,0.00937686087906522,0.551786049980683,0.54709761954115,0.0102155840495984,0.638720586163168,-0.261935174863167,2236.06797749979,-585.704856692335,118511.602807489,42.6246950469541,"Q2",0.01953125,1.03515625
"283","Peru",2005,28000000,72.5,39000,140,0.0525104209227652,0.604296470903448,0.578041260442065,0.137381992391151,0.776102578554319,-0.238041160640438,5291.50262212918,-1259.59542570355,740810.367098085,41.059823736777,"Q3",0.261682242990654,36.6355140186916
"334","Venezuela",2005,27000000,73.3,9000,34,0.0506350487469522,0.6549315196504,0.629613995276924,0.0317035367056503,0.807806115259969,-0.200925626894247,5196.15242270663,-1044.04018297039,176669.182372025,38.6290461629495,"Q3",0.252336448598131,8.57943925233645
"11","Argentina",2005,39000000,75,13000,33,0.0731395148567087,0.728071034507109,0.691501277078754,0.0457939974637171,0.853600112723686,-0.160207013489965,6244.9979983984,-1000.49247857422,206084.933947147,35.9622950129505,"Q3",0.364485981308411,12.0280373831776
"130","Ecuador",2005,13000000,75,11000,83,0.0243798382855696,0.752450872792678,0.740260953649894,0.0387487670846837,0.89234887980837,-0.130615157630646,3605.55127546399,-470.939648190106,299260.755863511,34.0242595779043,"Q3",0.121495327102804,10.0841121495327
"249","Panama",2005,3000000,75.2,1500,47,0.00562611652743913,0.758076989320117,0.755263931056398,0.00528392278427505,0.897632802592645,-0.121901255296494,1732.05080756888,-211.139167679952,81406.3879557372,33.4535670339353,"Q4",0.0227272727272727,1.06818181818182
"215","Mexico",2005,106000000,75.7,24000,22,0.198789450636183,0.9568664399563,0.857471714638209,0.0845427645484007,0.982175567141045,-0.066780197091782,10295.630140987,-687.544209999203,226503.863101714,29.8435682381237,"Q4",0.803030303030303,17.6666666666667
"317","Uruguay",2005,3000000,75.9,760,23,0.00562611652743913,0.962492556483739,0.95967949822002,0.00267718754403269,0.984852754685078,-0.0178737829966064,1732.05080756888,-30.958300273583,39837.1685740842,26.6405800927336,"Q4",0.0227272727272727,0.522727272727273
"62","Chile",2005,16000000,78,3300,20,0.0300059548130087,0.992498511296748,0.977495533890243,0.0116246301254051,0.996477384810483,-0.00988521818913272,4000,-39.5408727565309,80000,26.1173914915979,"Q4",0.121212121212121,2.42424242424242
"96","Costa Rica",2005,4000000,79,1000,23,0.00750148870325217,1,0.996249255648374,0.0035226151895167,1,-0.00163199008057357,2000,-3.26398016114714,46000,25.576869511363,"Q4",0.0303030303030303,0.696969696969697
