"","country","year","ir_tb","num_tb_cases","population","impwater"
"1","Argentina",2000,40,15000,36903067,96.5
"5","Bolivia",2000,184,16000,8495271,78.9
"9","Brazil",2000,61,110000,174504898,93.5
"13","Chile",2000,23,3600,15454402,94.8
"17","Colombia",2000,43,17000,39897984,89.9
"21","Costa Rica",2000,20,770,3929588,95
"25","Cuba",2000,13,1400,11138416,90.7
"29","Dominican Republic",2000,100,8600,8663421,85.8
"33","Ecuador",2000,107,13000,12533087,79.6
"37","El Salvador",2000,28,1700,5958794,83.6
"41","Guatemala",2000,68,7600,11204183,87.4
"45","Guyana",2000,103,770,744471,86.2
"49","Haiti",2000,270,23000,8578234,60.9
"53","Honduras",2000,114,7100,6235561,80.8
"57","Mexico",2000,29,30000,103873607,88.6
"61","Nicaragua",2000,56,2800,5100920,80
"65","Panama",2000,60,1800,3054812,90.2
"69","Paraguay",2000,49,2600,5350253,73.5
"73","Peru",2000,185,48000,26000080,80.6
"77","Suriname",2000,86,400,466668,88.9
"81","Trinidad and Tobago",2000,17,210,1267980,92.2
"85","Uruguay",2000,23,760,3320841,97.1
"89","Venezuela",2000,34,8400,24407553,92.1
