"","country","year","ir_tb","num_tb_cases","population","impwaterurban"
"2","Argentina",2005,33,13000,38647854,98.5
"6","Bolivia",2005,158,15000,9354709,94.5
"10","Brazil",2005,51,95000,186142403,98.5
"14","Chile",2005,17,2800,16337749,99.4
"18","Colombia",2005,38,17000,43184026,97.1
"22","Costa Rica",2005,16,700,4320130,99.5
"26","Cuba",2005,9.2,1000,11292078,95.5
"30","Dominican Republic",2005,82,7700,9343362,87.5
"34","Ecuador",2005,83,11000,13777131,89.2
"38","El Salvador",2005,31,1900,6072538,94.1
"42","Guatemala",2005,65,8200,12678919,96.9
"46","Guyana",2005,115,880,760834,95.6
"50","Haiti",2005,272,25000,9260879,78.9
"54","Honduras",2005,73,5000,6898825,95.3
"58","Mexico",2005,21,23000,110731826,94.7
"62","Nicaragua",2005,44,2400,5455219,96.7
"66","Panama",2005,61,2100,3365929,97.3
"70","Paraguay",2005,49,2900,5904170,95.5
"74","Peru",2005,150,42000,27723281,90.2
"78","Suriname",2005,62,310,499523,97.9
"82","Trinidad and Tobago",2005,16,210,1296933,97
"86","Uruguay",2005,21,710,3325155,99.1
"90","Venezuela",2005,34,9000,26725897,94.3
