"","country","year","population","lexp","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2000","qlexp","wpop2000","wrate"
"176","Haiti",2000,9000000,59,23000,271,0.0180640373375142,0.0180640373375142,0.00903201866875708,0.0719379457024897,0.0719379457024897,-2.04421517341593,3000,-6132.64552024778,813000,180.095969311674,"Q1",0.264705882352941,71.7352941176471
"23","Bolivia",2000,8000000,63,15000,184,0.0160569220777904,0.0341209594153045,0.0260924983764093,0.046916051545102,0.118853997247592,-1.58348433488443,2828.42712474619,-4478.77004439781,520430.590953299,147.007772966759,"Q1",0.235294117647059,43.2941176470588
"159","Guatemala ",2000,11000000,68,7600,68,0.0220782678569618,0.0561992272722663,0.0451600933437854,0.0237707994495183,0.14262479669711,-1.34524516907991,3316.6247903554,-4461.67347687626,225530.485744167,129.898207823877,"Q1",0.323529411764706,22
"295","Trinidad and Tobago",2000,1000000,68.5,210,17,0.0020071152597238,0.0582063425319901,0.0572027849021282,0.000656824721631428,0.143281621418741,-1.24258282718276,1000,-1242.58282718276,17000,122.525330990304,"Q1",0.0294117647058824,0.5
"227","Nicaragua",2000,5000000,69.9,3400,68,0.010035576298619,0.0682419188306091,0.0632241306812996,0.0106343050168898,0.153915926435631,-1.19911713340167,2236.06797749979,-2681.30742327082,152052.622469986,119.403765664482,"Q1",0.147058823529412,10
"40","Brazil",2000,174000000,70,110000,60,0.34923805519194,0.417479974022549,0.242860946426579,0.344051044664081,0.497966971099712,-0.614642316874821,13190.9059582729,-8107.68899987074,791454.357496375,77.4286776726744,"Q2",0.801003589366136,48.0602153619682
"142","El Salvador",2000,6227491,70,2200,37,0.0124992922158926,0.429979266238442,0.423729620130496,0.00688102089328162,0.504847991992994,-0.372911176287886,2495.49413944413,-930.597654959636,92333.2831594328,60.0683302127244,"Q2",0.02866806117095,1.06071826332515
"193","Honduras",2000,6000000,70,7200,116,0.0120426915583428,0.442021957796785,0.436000612017613,0.0225197047416489,0.527367696734643,-0.360512901108281,2449.48974278318,-883.072653405742,284140.810162849,59.1779262519463,"Q2",0.0276208134264185,3.20401435746454
"261","Paraguay",2000,5000000,70.2,2600,49,0.010035576298619,0.452057534095404,0.447039745946094,0.00813211560115101,0.535499812335794,-0.349653862376579,2236.06797749979,-781.849804869388,109567.33089749,58.3980652666977,"Q2",0.0230173445220154,1.12784988157875
"278","Peru",2000,26000000,70.6,48000,184,0.0521849967528187,0.504242530848222,0.478150032471813,0.150131364944326,0.68563117728012,-0.320435810394236,5099.01951359279,-1633.90845005413,938219.590501072,56.2997194214551,"Q2",0.11969019151448,22.0229952386643
"74","Colombia",2000,40000000,71,17000,43,0.0802846103889518,0.584527141237174,0.544384836042698,0.0531715250844489,0.738802702364569,-0.264093980666905,6324.55532033676,-1670.27699049578,271955.878774481,52.253431722564,"Q3",0.327868852459016,14.0983606557377
"108","Dominican Republic",2000,9000000,71,8600,100,0.0180640373375142,0.602591178574688,0.593559159905931,0.0268985362191918,0.765701238583761,-0.22653598852025,3000,-679.60796556075,3e+05,49.5561383908863,"Q3",0.0737704918032787,7.37704918032787
"329","Venezuela",2000,24000000,72.5,8300,34,0.0481707662333711,0.65076194480806,0.626676561691374,0.0259602151882898,0.791661453772051,-0.202956548029331,4898.97948556636,-994.279965257056,166565.302509256,47.8627393573995,"Q3",0.19672131147541,6.68852459016393
"6","Argentina",2000,37000000,74,15000,40,0.0742632646097804,0.72502520941784,0.68789357711295,0.046916051545102,0.838577505317152,-0.162478745554653,6082.76253029822,-988.319625429699,243310.501211929,44.9557547063139,"Q3",0.30327868852459,12.1311475409836
"125","Ecuador",2000,12000000,74,13000,107,0.0240853831166855,0.749110592534525,0.737067900976183,0.040660578005755,0.879238083322908,-0.132492501746213,3464.10161513775,-458.967489292697,370658.87281974,42.8022398125798,"Q3",0.0983606557377049,10.5245901639344
"244","Panama",2000,3000000,74.3,1400,47,0.00602134577917139,0.755131938313697,0.752121265424111,0.00437883147754285,0.88361691480045,-0.123712131936688,1732.05080756888,-214.275698027008,81406.3879557372,42.1716620957408,"Q4",0.024,1.128
"210","Mexico",2000,100000000,74.4,31000,31,0.20071152597238,0.955843464286076,0.855487701299887,0.0969598398598774,0.980576754660328,-0.0677862296015334,10000,-677.862296015334,310000,38.1552449548125,"Q4",0.8,24.8
"312","Uruguay",2000,3000000,74.8,810,24,0.00602134577917139,0.961864810065248,0.958854137175662,0.00253346678343551,0.983110221443763,-0.0182474535569162,1732.05080756888,-31.6055166693323,41569.219381653,34.5975305337948,"Q4",0.024,0.576
"57","Chile",2000,15000000,77,4000,26,0.0301067288958569,0.991971538961105,0.976918174513176,0.0125109470786939,0.995621168522457,-0.0101418107393705,3872.98334620742,-39.2790640939693,100697.567001393,34.0154095238282,"Q4",0.12,3.12
"91","Costa Rica",2000,4000000,78,1400,35,0.00802846103889518,1,0.995985769480552,0.00437883147754285,1,-0.00174686667692548,2000,-3.49373335385097,70000,33.4125118356072,"Q4",0.032,1.12
