id,country,year,country_code,wb_income_group,wb_income_group_code,tb_incidence,tbincidence_hiv,num_incid_tb_cases,num_incid_tb_hiv_cases,case_det_rate,new_relapses_tb_cases,rate_deaths_hiv_neg_tb_cases,num_prev_tb_cases,num_deaths_tb_cases_exc_hiv,prev_tb_cases,new_extra_tb_cases,new_pulm_smear_neg_tb_cases,new_pulm_smear_pos_tb_cases,lab_DST_5million_pop,lab_culture_diagnosis_5million_pop,lab_smear_diagnosis_100k_pop,lab_second_DST_available,nat_ref_lab,GDP_constant_2000,GDP_constant_LCU,GDP_current_LCU,GDP_current_US,GDP_deflator,GDP_growth,GDP_per_capita_constant_2000,GDP_per_capita_constant_LCU,GDP_per_capita_current_LCU,GDP_per_capita_current_US,GDP_per_capita_growth,GDP_per_capita_PPP_constant_2005_international,GDP_per_capita_PPP_current_international,GDP_per_person_employed,GDP_PPP_constant_2005_international,GDP_PPP_current_2005_international,GNI_constant_2000_US,GNI_constant_LCU,GNI_current_LCU,GNI_current,GNI_growth,GNI_percapita_constant_2000_US,GNI_percapita_constant_LCU,GNI_percapita_current_LCU,GNI_percapita_growth,GNI_percapita_Atlas_method,GNI_percapita_PPP_constant_2005_international,GNI_percapita_PPP_current_international,GNI_Atlas_method_current,GNI_PPP_constant_2005_international,GNI_PPP_current_international,Health_expenditure_percapita_current,Health_expenditure_percapita_PPP_constant_2005_international,Health_expenditure_private_GDP,Health_expenditure_public_GDP,Health_expenditure_public_government_expenditure,Health_expenditure_total_health_expenditure,Health_expenditure_total,Urban_population,Urban_population_growth,Inflation_GDP_deflator,Population_in_urban_agglomerations,Poblacion_total_prision,tasa_encarcelamiento_100k,p_prision_preventiva,p_mujeres,p_menores_edad,p_extranjeros,n_prisiones,capacidad_sistema_penitenciario,p_nivel_ocupacion_SP,recorded_adult_percapita_consumption_in_litres_of_pure_alcohol,prevalecia_diabetes,prevalencia_consumo_tabaco,poblacion_total,e_inc_tb_inc_hiv_100k, e_inc_tb_inc_hiv_num,e_inc_tbhivpos_100k,e_inc_tbhivpos_num,e_inc_tb_inc_nohiv_100k, e_inc_tb_inc_nohiv_num,tb_notificados_all_form_num,nuevos_notificados_tasa_k,tb_pulm_not,tb_not_antestratado,p_deteccion,p_sp_among_new_pulm,c_new_sp_tsr,p_muertes_nuevos,p_fracaso_nuevos,p_abandono_nuevos,c_ret_tsr,p_muerte_antes_tratados,p_fracaso_antes_tratados,p_abandono_antes_tratados,e_mort_exc_tbhiv_100k,e_tbhiv_prct,hiv_reg_new,hiv_reg,hiv_tbscr,hivtest,hivtest_pos,p_pacientes_conocen_hiv_status,p_positividad,hiv_art_num,p_hiv_art,hiv_ipt_num,hiv_cpt_num,p_hiv_cpt,p_e_new_mdr_pcnt,e_new_mdr_num,p_e_ret_mdr_pcnt,e_ret_mdr_num,e_mdr_new_and_ret,num_Bact_VE_tested_MDR_TB,total_casos_confirmados_mdr,p_mdr_del_total_casos_notificados,vih_prevalence,y_educacion_prom,emision_PP_CO2_ton,IDH,p_menores_5a_bajo_peso,p_emigrantes,p_inmigrantes,t_neta_migracion,crec_anual_PBI_p,disponibilidad_calorias_kcal_dia_habitante,esperanza_vida_nacer_anos,gasto_nacional_salud_proporcion_PBI,incidencia_tuberculosis_por_100000_hab,Incidencia_tuberculosis_baciloscopia_positiva_100000_hab,INB_per_capita_internacionales_PPA_US,Poblacion_Miles,prevalencia_deficit_nutricional_ninos_menores_5anos_p,prevalencia_sobrepeso_poblacion_adulta_p_20_74_anos,Prevalencia_uso_tabaco_adolescentes_p_13_15anos,Proporcion_poblacion_usa_fuentes_mejoradas_agua_potable,proporcion_poblacion_utiliza_instalaciones_mejoradas_saneamiento,p_poblacion_menores_1ano_inmunizada_tuberculosis,proporcion_poblacion_urbana,razon_cruda_escolaridad_primaria,razon_medicos_10000_hab,tasa_alfabetizacion,tasa_crecimiento_anual_poblacion,tasa_incidencia_pobreza_sobre_base_1_25_dia_PPA,tasa_incidencia_pobreza_linea_pobreza_nacional,tasa_incidencia_SIDA_por_100000_hab,tasa_estimada_mortalidad_diabetes_mellitus_100000_hab,tasa_estimada_mortalidad_neoplasias_malignas_pulmon_traquea_bronquios_por_100000hab,tasa_estimada_mortalidad_tuberculosis_por_100000hab,prop_desem_fuerza_trabajo,ret_taf,ret_tad,ret_oth,tot_newrel,total_casos_tb,e_inc_num,captacion
1,Argentina,1995,ARG,Upper middle income,WB_UMI,49,1.6,17000,570,79,13450,3.2,24000,1100,68,3067,5698,NA,NA,NA,NA,NA,NA,2.50E+11,2.43E+11,2.58E+11,2.58E+11,106,-2.85,7180,6980,7400,7400,-4.06,9590,7810,21500,3.34E+11,2.72E+11,2.46E+11,2.39E+11,2.53E+11,2.53E+11,-3.25,7050,6850,7270,-4.46,7360,9430,7660,2.56E+11,3.29E+11,2.67E+11,615,649,3.34,4.97,15.3,59.8,8.31,88.7,1.63,3.17,38.9,25852,74,,,,,,,,9.26,,,35000000,49,17000,1.6,570,47.4,16430,13433,38.38,13433,,79.02,55,12,1,0,3,,,,,3.2,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,-2.8,,73,,38.6,16.3,7660,34855,,,,95,91,,88.7,,27,,1.2,3.9,,6.7,,,,18.8,,,,13450,13450,17000,0.791176471
2,Argentina,1996,ARG,Upper middle income,WB_UMI,47,1.7,17000,600,80,13397,3,23000,1100,65,2202,5787,3356,NA,NA,NA,NA,NA,2.64E+11,2.57E+11,2.72E+11,2.72E+11,106,5.53,7480,7270,7710,7710,4.23,10000,8280,22500,3.53E+11,2.92E+11,2.59E+11,2.51E+11,2.67E+11,2.67E+11,5.29,7330,7130,7560,4,7730,9810,8110,2.73E+11,3.46E+11,2.86E+11,619,664,3.39,4.63,15.2,57.7,8.02,88.9,1.56,-0.0524,38.8,,94,,,,,,,,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,5.5,,73,,38,16.4,8110,35287,,,,96,90,,89,95.7,27,,1.2,4.3,,8.2,,,,17.2,,,,13397,13397,17000,0.788058824
3,Argentina,1997,ARG,Upper middle income,WB_UMI,45,1.7,16000,610,78,12621,2.9,22000,1000,62,1985,5307,3122,NA,NA,NA,NA,NA,2.86E+11,2.77E+11,2.93E+11,2.93E+11,106,8.11,7990,7770,8200,8200,6.82,10700,9010,24400,3.81E+11,3.22E+11,2.80E+11,2.72E+11,2.87E+11,2.87E+11,8.01,7830,7600,8030,6.72,8140,10500,8830,2.91E+11,3.74E+11,3.15E+11,686,754,3.81,4.55,15,54.5,8.36,89.2,1.54,-0.464,38.8,,98,,,,,,,,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,8.1,,73,,35.3,14.9,8830,35715,,60.9,,96,90,,89.3,94.8,27,,1.2,3.8,,9.2,20.1,23.1,2.9,14.9,,,,12621,12621,16000,0.7888125
4,Argentina,1998,ARG,Upper middle income,WB_UMI,44,1.7,16000,630,78,12276,2.7,21000,980,59,1671,5186,3487,NA,NA,NA,NA,NA,2.97E+11,2.88E+11,2.99E+11,2.99E+11,104,3.85,8210,7970,8270,8270,2.64,11000,9380,25600,3.96E+11,3.39E+11,2.89E+11,2.81E+11,2.92E+11,2.92E+11,3.46,8000,7780,8070,2.25,8010,10700,9150,2.90E+11,3.87E+11,3.31E+11,707,801,3.91,4.62,14.9,54.2,8.54,89.5,1.5,-1.71,38.8,35808,99,,,,,,,,9.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,3.9,,74,,34,14.4,9150,36135,,,,96,90,,89.5,102.8,30,,1.1,4,,6.5,22.3,23.4,2.6,12.8,,,,12276,12276,16000,0.76725
5,Argentina,1999,ARG,Upper middle income,WB_UMI,42,1.7,15000,630,77,11871,2.5,21000,930,57,1378,4830,837,NA,NA,NA,NA,NA,2.86E+11,2.78E+11,2.84E+11,2.84E+11,102,-3.39,7840,7620,7760,7760,-4.46,10500,9100,24700,3.83E+11,3.32E+11,2.79E+11,2.71E+11,2.76E+11,2.76E+11,-3.54,7630,7420,7550,-4.61,7560,10200,8860,2.76E+11,3.73E+11,3.24E+11,726,851,4.2,5.15,15.1,55.1,9.36,89.8,1.45,-1.84,38.8,,108,,,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,-3.4,,74,,32.5,13.2,8860,36541,,,,96,90,,89.8,99.1,,,1.1,4.2,,6.5,24,23.5,2.4,14.1,671,,671,11871,13213,15000,0.880866667
6,Argentina,2000,ARG,Upper middle income,WB_UMI,40,1.7,15000,640,79,11767,2.4,20000,880,55,1773,4749,1786,NA,NA,NA,NA,NA,2.84E+11,2.76E+11,2.84E+11,2.84E+11,103,-0.789,7700,7480,7700,7700,-1.84,10300,9120,24300,3.80E+11,3.37E+11,2.77E+11,2.69E+11,2.77E+11,2.77E+11,-0.824,7490,7280,7490,-1.87,7460,10000,8880,2.76E+11,3.70E+11,3.28E+11,709,840,4.25,4.97,14.7,53.9,9.21,90.1,1.39,1.04,38.8,,112,,,,,,,,8.55,3.3,,37000000,40,15000,1.7,640,38.3,14360,10736,28.74,10632,104,71.57,54,46,5,0,6,,,,,2.4,,,,,,,,,,,,,,,,,,,,,0,0.3,8.6,3.8,0.755,,,,-0.3,-0.8,3268,74,,31.9,12.9,8880,36931,,,28.1,96,91,,90.1,99,,,1,5.1,,6.6,24.1,22.8,2.2,15,488,374,862,11767,13491,15000,0.8994
7,Argentina,2001,ARG,Upper middle income,WB_UMI,39,1.7,15000,630,79,11456,2.3,20000,840,53,1727,5595,2665,NA,NA,NA,NA,Yes,2.72E+11,2.64E+11,2.69E+11,2.69E+11,102,-4.41,7280,7080,7200,7200,-5.36,9730,8830,22900,3.63E+11,3.29E+11,2.64E+11,2.56E+11,2.61E+11,2.61E+11,-4.62,7070,6870,7000,-5.57,6990,9460,8570,2.61E+11,3.53E+11,3.20E+11,676,828,4.31,5.07,14.2,54,9.38,90.4,1.28,-1.1,38.9,,117,,,,,,,,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,-4.4,3182,74,,30.7,15,8570,37302,,,,96,91,,90.4,98.8,32,97.2,1,8.3,,5.9,23.9,21.8,2.1,18.3,,,,11456,11456,15000,0.763733333
8,Argentina,2002,ARG,Upper middle income,WB_UMI,37,1.7,14000,620,82,11548,2.2,19000,810,50,1888,5498,2369,NA,NA,NA,NA,NA,2.42E+11,2.35E+11,3.13E+11,1.02E+11,133,-10.9,6430,6250,8300,2710,-11.7,8590,7920,22900,3.23E+11,2.98E+11,2.23E+11,2.17E+11,2.90E+11,9.46E+10,-15.5,5920,5750,7690,-16.3,4040,7920,7340,1.52E+11,2.98E+11,2.76E+11,225,658,3.86,4.45,15.3,53.6,8.31,90.6,1.23,30.6,39,57632,152,,,,,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,-10.9,2966,74,,30.7,14.6,7340,37657,,,,96,90,,90.6,102.9,,,0.9,12.6,,6.1,22.7,21.7,2.1,17.9,,,,11548,11548,14000,0.824857143
9,Argentina,2003,ARG,Upper middle income,WB_UMI,36,1.6,14000,610,78,10728,2.1,18000,790,48,1812,4961,2339,NA,NA,NA,NA,NA,2.63E+11,2.56E+11,3.76E+11,1.30E+11,147,8.84,6930,6740,9890,3410,7.85,9260,8720,23200,3.52E+11,3.31E+11,2.46E+11,2.39E+11,3.53E+11,1.22E+11,10.5,6480,6300,9280,9.55,3670,8670,8180,1.40E+11,3.30E+11,3.11E+11,280,717,3.97,4.25,14.5,51.7,8.22,90.9,1.19,10.5,39.1,38604,107,,,,,,,,8.19,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,8.8,3063,75,,28.2,13.1,8180,38001,,35.9,24.9,96,90,,90.9,101,,,0.9,9.8,,5.8,23.9,21.9,1.9,16.1,404,,1030,10728,12162,14000,0.868714286
10,Argentina,2004,ARG,Upper middle income,WB_UMI,35,1.6,13000,600,80,10619,2,18000,760,47,1677,4760,2195,NA,NA,NA,NA,NA,2.87E+11,2.79E+11,4.48E+11,1.53E+11,160,9.03,7490,7280,11700,3990,8.06,10000,9690,23300,3.84E+11,3.71E+11,2.70E+11,2.62E+11,4.22E+11,1.44E+11,9.54,7040,6840,11000,8.57,3580,9410,9120,1.37E+11,3.61E+11,3.50E+11,327,793,3.97,4.22,14.7,51.5,8.19,91.1,1.17,9.22,39.2,,131,,,,,,,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3,,,,,,,,9,3040,75,,27.7,12.4,9120,38341,,,,96,90,,91.1,99.8,32,,0.9,6.3,,5.4,24.1,22,1.8,12.6,420,,246,10619,11285,13000,0.868076923
