"","country","year","population","pnotified","num_tb_cases","ir_tb"
"6","Argentina",2000,37000000,0.8994,15000,40
"23","Bolivia",2000,8000000,0.7838,15000,184
"40","Brazil",2000,174000000,0.787263636,110000,60
"57","Chile",2000,15000000,0.75525,4000,26
"74","Colombia",2000,40000000,0.684117647,17000,43
"91","Costa Rica",2000,4000000,0.417857143,1400,35
"108","Dominican Republic",2000,9000000,0.615232558,8600,100
"125","Ecuador",2000,12000000,0.552923077,13000,107
"142","El Salvador",2000,6227491,0.756818182,2200,37
"159","Guatemala ",2000,11000000,0.383289474,7600,68
"176","Haiti",2000,9000000,0.457826087,23000,271
"193","Honduras",2000,6000000,0.889722222,7200,116
"210","Mexico",2000,100000000,0.624129032,31000,31
"227","Nicaragua",2000,5000000,0.706470588,3400,68
"244","Panama",2000,3000000,0.901428571,1400,47
"261","Paraguay",2000,5000000,0.948461538,2600,49
"278","Peru",2000,26000000,0.8054375,48000,184
"295","Trinidad and Tobago",2000,1000000,1.066666667,210,17
"312","Uruguay",2000,3000000,0.796296296,810,24
"329","Venezuela",2000,24000000,0.779036145,8300,34
