"","country","year","population","pnotified","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2010","qpnotified","wpop2010","wrate"
"169","Guatemala ",2010,14000000,0.376516854,8900,62,0.0246804557924522,0.0246804557924522,0.0123402278962261,0.0347181587673103,0.0347181587673103,-1.90867681978742,3741.65738677394,-7141.61472172179,231982.757979984,74.7988594131936,"Q1",0.240268788006661,14.896664856413
"135","Ecuador",2010,14000000,0.542021277,9400,65,0.0246804557924522,0.0493609115849044,0.0370206836886783,0.0366686171250244,0.0713867758923347,-1.43155556506776,3741.65738677394,-5356.39045461311,243207.730140306,65.530912878124,"Q1",0.240268788006661,15.617471220433
"186","Haiti",2010,10123787,0.620217391,23000,230,0.0178471198218359,0.0672080314067403,0.0582844714958223,0.0897210844548469,0.161107860347182,-1.23444713721317,3181.78990506916,-3927.75143952637,731811.678165906,61.7021369581719,"Q1",0.173745002323399,39.9613505343818
"118","Dominican Republic",2010,10056181,0.620895522,6700,67,0.0177279379008141,0.0849359693075544,0.0760720003571473,0.0261361419933684,0.18724400234055,-1.11877516357082,3171.14821476386,-3547.80186267973,212466.930389178,59.4552413174544,"Q1",0.172584744346115,11.5631778711897
"33","Bolivia",2010,10088108,0.661692308,13000,135,0.0177842216802488,0.102720190987803,0.0938280801476788,0.0507119173005656,0.237955919641116,-1.02766716984924,3176.17820658728,-3264.05406850039,428784.057889283,57.6854940962263,"Q1",0.173132677317164,23.3729114378172
"339","Venezuela",2010,29436891,0.673092784,9700,33,0.0518939919280524,0.154614182915856,0.128667186951829,0.0378388921396528,0.275794811780768,-0.890532193909164,5425.57748078488,-4831.65141718751,179044.056865901,55.0216856564881,"Q2",0.230122858324885,7.59405432472122
"16","Argentina",2010,40000000,0.701181818,11000,27,0.0705155879784349,0.225129770894291,0.189871976905073,0.0429100838697094,0.318704895650478,-0.721539127804059,6324.55532033676,-4563.4141295843,170762.993649093,51.7390427518457,"Q2",0.312699949631074,8.44289864003899
"84","Colombia",2010,46000000,0.7430625,16000,34,0.0810929261752001,0.306222697069491,0.265676233981891,0.06241466744685,0.381119563097328,-0.575647293584302,6782.32998312527,-3904.22989898172,230599.219426259,48.9051347964216,"Q2",0.359604942075735,12.226568030575
"203","Honduras",2010,7754687,0.743846154,3900,54,0.0136706578348431,0.319893354904334,0.313058025986912,0.0152135751901697,0.396333138287498,-0.504375157564391,2784.72386422783,-1404.54553779323,150375.088668303,47.5206935468679,"Q2",0.0606222558576186,3.2736018163114
"101","Costa Rica",2010,4726575,0.764615385,650,14,0.00833243038122927,0.328225785285563,0.324059570094948,0.00253559586502828,0.398868734152526,-0.48937514848006,2174.06876616173,-1063.93522524626,30436.9627262643,47.2293225780755,"Q2",0.0369499941106873,0.517299917549622
"67","Chile",2010,17269525,0.7725,3200,19,0.030444267737082,0.358670053022645,0.343447919154104,0.01248293348937,0.411351667641896,-0.46413911053701,4155.66180048377,-1928.80517176917,78957.5742091916,46.7391196200232,"Q3",0.122316627316979,2.32401591902261
"271","Paraguay",2010,6000000,0.795333333,3000,46,0.0105773381967652,0.36924739121941,0.363958722121028,0.0117027501462844,0.42305441778818,-0.438947868470705,2449.48974278318,-1075.19830143553,112676.528168026,46.249786809311,"Q3",0.042496812384931,1.95485336970683
"220","Mexico",2010,113000000,0.80456,25000,22,0.199206536039079,0.568453927258489,0.46885065923895,0.0975229178857031,0.520577335673883,-0.328965469005139,10630.1458127346,-3496.95090287927,233863.207880162,44.1134095509882,"Q3",0.800356633249534,17.6078459314898
"305","Trinidad and Tobago",2010,1346350,0.921428571,280,19,0.00237346654686914,0.570827393805358,0.569640660531923,0.00109225668031988,0.521669592354203,-0.244399018643672,1160.32323082838,-283.58185892391,22046.1413857391,42.4707299745539,"Q3",0.00953593055907532,0.181182680622431
"254","Panama",2010,3571185,0.958823529,1700,48,0.00629560525136917,0.577122999056727,0.573975196431043,0.00663155841622781,0.528301150770431,-0.241106874650591,1889.7579210047,-455.633626179642,90708.3802082255,42.4067810009716,"Q3",0.02529399648948,1.21411183149504
"152","El Salvador",2010,6227491,0.961111111,1800,28,0.0109783797373853,0.588101378794112,0.58261218892542,0.00702165008777063,0.535322800858202,-0.234620433667027,2495.49413944413,-585.493917209906,69873.8359044356,42.2807837043853,"Q4",0.0259611653338839,0.726912629348749
"50","Brazil",2010,195000000,0.964070588,85000,46,0.34376349139487,0.931864870188982,0.759983124491547,0.331577920811391,0.866900721669592,-0.119196051168642,13964.2400437689,-1664.48227078829,642355.042013371,40.0386974521872,"Q4",0.812916026712421,37.3941372287713
"322","Uruguay",2010,3380008,0.970833333,720,24,0.00595858128729534,0.937823451476278,0.93484416083263,0.00280866003510825,0.869709381704701,-0.0292607802839514,1838.47980679691,-53.7953536831658,44123.5153631258,38.2917300431036,"Q4",0.0140905778134164,0.338173867521993
"288","Peru",2010,29399817,1.047645161,31000,106,0.0518286345553346,0.989652086031612,0.963737768753945,0.120928418178272,0.990637799882973,-0.0160411207400804,5422.1598095224,-86.9775201765602,574748.939809375,38.0349418647266,"Q4",0.122561961136986,12.9915678805205
"237","Nicaragua",2010,5869859,1.072916667,2400,42,0.0103479139683877,1,0.994826043015806,0.0093622001170275,1,-0.0022528540916756,2422.7791892783,-5.45816800979211,101756.725949688,37.7671086528447,"Q4",0.024470269003293,1.02775129813831
