Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,91.3,91.6,91.9,92.3,92.6,92.9,93.2,93.6,93.9,94.2,94.5,94.9,95.2,95.5,95.8,96.2,96.5,96.8,97.1,97.4,97.8,98.1,,
Andorra,AND,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Afghanistan,AFG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4.9,4.9,4.9,4.9,8.4,11.8,15.2,18.7,22.1,25.6,29.1,32.5,36,39.5,43,46.5,50,53.5,57.1,60.6,64.2,,
Angola,AGO,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,42.4,42.4,42.4,43,43.4,43.8,44.2,44.6,45.1,45.7,46.2,46.8,47.4,48.1,48.8,49.5,50.2,51,51.8,52.6,53.4,54.3,,
Albania,ALB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,96.4,96.5,96.5,96.5,96.5,96.5,96.4,96.4,96.3,96.3,96.2,96.2,96.1,96,96,95.9,95.8,95.7,,
Arab World,ARB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.46069022,83.76304276,83.73115838,82.14819536,82.14026614,82.25231723,82.25791882,82.24197296,82.27143346,82.27771066,82.28516346,82.30880231,82.89876439,82.92886112,82.97222473,83.01956232,83.08776988,83.13374421,83.16589173,83.31901036,83.46964669,83.64100021,85.28187371,,
United Arab Emirates,ARE,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.6,99.6,99.6,99.6,99.6,,
Argentina,ARG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.8,94.1,94.4,94.7,95,95.2,95.5,95.8,96,96.2,96.5,96.7,96.9,97.1,97.3,97.5,97.7,97.9,98.1,98.2,98.4,98.6,98.7,,
Armenia,ARM,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,90.6,90.5,90.5,90.4,90.9,91.5,92,92.6,93.1,93.7,94.3,94.9,95.5,96.1,96.7,97.3,98,98.6,99.2,99.8,,
American Samoa,ASM,Improved water source (% of population with access),SH.H2O.SAFE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,94,94.4,94.8,95.3,95.7,96.1,96.5,96.9,97.4,97.8,98.2,98.6,99,99.4,99.9,100,100,100,100,100,100,100,,
