"","country","year","population","yr_sch","num_tb_cases","ir_tb"
"3","Argentina",2010,40374224,9.51,11000,27
"6","Bolivia",2010,10156601,8.25,14000,135
"9","Brazil",2010,195210154,7.89,92000,47
"12","Chile",2010,17150760,9.78,2800,16
"15","Colombia",2010,46444798,8.95,16000,34
"18","Costa Rica",2010,4669685,7.97,600,13
"21","Cuba",2010,11281768,10.16,1000,9.3
"24","Dominican Republic",2010,10016797,NA,6700,67
"27","Ecuador",2010,15001072,7.6,9700,65
"30","El Salvador",2010,6218195,7.77,2000,33
"33","Guatemala",2010,14341576,4.57,8800,62
"36","Guyana",2010,786126,8.79,870,110
"39","Haiti",2010,9896400,5.11,23000,229
"42","Honduras",2010,7621204,6.19,4100,53
"45","Mexico",2010,117886404,8.79,24000,21
"48","Nicaragua",2010,5822209,6.61,2900,49
"51","Panama",2010,3678128,9.27,1900,53
"54","Paraguay",2010,6459721,7.57,3000,46
"57","Peru",2010,29262830,8.88,39000,132
"60","Suriname",2010,524960,NA,250,47
"63","Trinidad and Tobago",2010,1328095,10.63,300,23
"66","Uruguay",2010,3371982,8.17,840,25
"69","Venezuela",2010,29043283,8.41,9700,33
